DATE,NROU
1975-01-01,6.170844000000001
1975-04-01,6.180209
1975-07-01,6.188934
1975-10-01,6.197032451629639
1976-01-01,6.204509
1976-04-01,6.211358000000001
1976-07-01,6.217563
1976-10-01,6.2230989999999995
1977-01-01,6.227931
1977-04-01,6.232016563415527
1977-07-01,6.235309
1977-10-01,6.237757
1978-01-01,6.239311
1978-04-01,6.239927
1978-07-01,6.239574432373047
1978-10-01,6.238234519958496
1979-01-01,6.235909461975098
1979-04-01,6.232616999999999
1979-07-01,6.2283935546875
1979-10-01,6.22329
1980-01-01,6.217370510101318
1980-04-01,6.210709
1980-07-01,6.2033879999999995
1980-10-01,6.19549560546875
1981-01-01,6.187123000000001
1981-04-01,6.178361415863037
1981-07-01,6.169302463531494
1981-10-01,6.160031
1982-01-01,6.150627
1982-04-01,6.141159534454346
1982-07-01,6.131687
1982-10-01,6.122254
1983-01-01,6.112889
1983-04-01,6.103606
1983-07-01,6.094400405883789
1983-10-01,6.085254
1984-01-01,6.076131
1984-04-01,6.066982
1984-07-01,6.057761
1984-10-01,6.048421382904053
1985-01-01,6.0389029999999995
1985-04-01,6.029139518737793
1985-07-01,6.019057
1985-10-01,6.008578
1986-01-01,5.997622
1986-04-01,5.98611
1986-07-01,5.973967552185058
1986-10-01,5.961125373840332
1987-01-01,5.947525501251221
1987-04-01,5.9331254959106445
1987-07-01,5.917901515960693
1987-10-01,5.901855
1988-01-01,5.885015
1988-04-01,5.86744
1988-07-01,5.8492169999999994
1988-10-01,5.8304524421691895
1989-01-01,5.811267375946045
1989-04-01,5.791787
1989-07-01,5.772135
1989-10-01,5.7524285316467285
1990-01-01,5.7327650000000006
1990-04-01,5.713230609893799
1990-07-01,5.693902492523193
1990-10-01,5.674851417541504
1991-01-01,5.6561455726623535
1991-04-01,5.6378379999999995
1991-07-01,5.619961
1991-10-01,5.6025339999999995
1992-01-01,5.58557653427124
1992-04-01,5.569083999999999
1992-07-01,5.553058999999999
1992-10-01,5.537511
1993-01-01,5.522455
1993-04-01,5.507904529571533
1993-07-01,5.4938645362854
1993-10-01,5.48034143447876
1994-01-01,5.467338562011719
1994-04-01,5.454845
1994-07-01,5.442838
1994-10-01,5.431291000000001
1995-01-01,5.420172
1995-04-01,5.409451484680176
1995-07-01,5.399091
1995-10-01,5.38905
1996-01-01,5.379276
1996-04-01,5.369709491729736
1996-07-01,5.360292434692383
1996-10-01,5.350973606109619
1997-01-01,5.341696
1997-04-01,5.332409381866455
1997-07-01,5.323080539703369
1997-10-01,5.31369
1998-01-01,5.304222
1998-04-01,5.294664
1998-07-01,5.285001
1998-10-01,5.275233
1999-01-01,5.265363
1999-04-01,5.255394458770752
1999-07-01,5.245333671569824
1999-10-01,5.235184669494629
2000-01-01,5.224948
2000-04-01,5.214622
2000-07-01,5.204211
2000-10-01,5.193731
2001-01-01,5.183196544647217
2001-04-01,5.172613620758057
2001-07-01,5.161983
2001-10-01,5.151313
2002-01-01,5.140615463256836
2002-04-01,5.129905
2002-07-01,5.119209
2002-10-01,5.1085615158081055
2003-01-01,5.09799
2003-04-01,5.087525
2003-07-01,5.077202
2003-10-01,5.067058563232422
2004-01-01,5.057126
2004-04-01,5.0474324226379395
2004-07-01,5.038008
2004-10-01,5.028878688812256
2005-01-01,5.020076
2005-04-01,5.011637
2005-07-01,5.003654480000438
2005-10-01,4.9967167758934
2006-01-01,4.987016736794103
2006-04-01,4.976734475862477
2006-07-01,4.966011157786974
2006-10-01,4.955040080493421
2007-01-01,4.944046980128732
2007-04-01,4.933268579217006
2007-07-01,4.922925139441717
2007-10-01,4.913194324705306
2008-01-01,4.904191718858677
2008-04-01,4.895960569602773
2008-07-01,4.888470759617824
2008-10-01,4.88162329538316
2009-01-01,4.875261901289407
2009-04-01,4.869192265374635
2009-07-01,4.863205979930874
2009-10-01,4.857106944397845
2010-01-01,4.850728282627726
2010-04-01,4.843936590710999
2010-07-01,4.836630897441851
2010-10-01,4.828742862936905
2011-01-01,4.820244006599269
2011-04-01,4.811158123503825
2011-07-01,4.801569813017011
2011-10-01,4.791622118171009
2012-01-01,4.781499529253637
2012-04-01,4.7713995210888855
2012-07-01,4.761502714877658
2012-10-01,4.751948856560013
2013-01-01,4.742824857468626
2013-04-01,4.734167218385459
2013-07-01,4.725973251949637
2013-10-01,4.71821229323513
2014-01-01,4.710835162426804
2014-04-01,4.70378083099091
2014-07-01,4.696979837805766
2014-10-01,4.690356277967989
2015-01-01,4.683831538634186
2015-04-01,4.677328465531269
2015-07-01,4.670774594146351
2015-10-01,4.664107354087191
2016-01-01,4.657280063380819
2016-04-01,4.650266763167459
2016-07-01,4.643065795549792
2016-10-01,4.6356975117040875
2017-01-01,4.628192464607139
2017-04-01,4.620574023479433
2017-07-01,4.6128389885979715
2017-10-01,4.6049403705047505
2018-01-01,4.596784534414666
2018-04-01,4.588244232774207
2018-07-01,4.579182858380815
2018-10-01,4.569488334912821
2019-01-01,4.559107349559952
2019-04-01,4.548072316787357
2019-07-01,4.536518384932685
2019-10-01,4.524682420558517
2020-01-01,4.5128759969487735
2020-04-01,4.501435076327348
2020-07-01,4.490658240630827
2020-10-01,4.480756326904777
2021-01-01,4.4718328337534015
2021-04-01,4.463891501246221
2021-07-01,4.456865180030474
2021-10-01,4.4506510615985775
2022-01-01,4.445136605
2022-04-01,4.440213593
2022-07-01,4.435783746
2022-10-01,4.431759578
2023-01-01,4.428063806
